login_credentials_forgotten	login/password/forgotten
domain_not_working	domain/custom_domain/not_working
unknown	platform/unknown/generic_problem
wa_group_messages_not_sending	whatsapp/group/not_sending
wa_media_not_uploading	whatsapp/media/not_uploading
wa_media_not_displaying	whatsapp/media/not_visible
wa_quality_rating_dropped	whatsapp/quality_rating/dropped
wa_messaging_limit_reached	whatsapp/messaging_limit/limit_reached
wa_24h_window_expired	whatsapp/24h_window/expired
wa_optin_required	whatsapp/optin/rejected
wa_business_profile_not_saving	whatsapp/business_profile/not_saving
wa_verification_rejected	whatsapp/verification/rejected
wa_catalog_not_showing	whatsapp/catalog/not_visible
wa_contacts_import_failing	whatsapp/contacts_import/not_working
wa_contacts_duplicated	whatsapp/contacts_import/duplicated
wa_template_stuck_pending	whatsapp/template/pending
wa_template_variables_wrong	whatsapp/template_variables/wrong_data
wa_template_edit_request	whatsapp/template/request_change
wa_campaign_partial_delivery	whatsapp/campaign/partial
wa_campaign_scheduling_issue	whatsapp/campaign_schedule/not_sending
wa_customer_replies_not_appearing	whatsapp/customer_replies/not_received
wa_number_migration	whatsapp/number/request_migration
wa_two_numbers_same_account	whatsapp/number/request_add
wa_number_shows_offline	whatsapp/number/shows_offline
wa_old_conversations_missing	whatsapp/history/missing
wa_auto_reply_not_firing	whatsapp/auto_reply/not_working
wa_welcome_message_not_sent	whatsapp/welcome_message/not_sending
wa_away_message_wrong_hours	whatsapp/away_message/wrong_timing
wa_keyword_not_matching	whatsapp/keyword_trigger/not_matching
wa_handoff_not_working	whatsapp/handoff/not_working
wa_inbox_not_syncing	whatsapp/inbox/not_updating
wa_message_status_stuck	whatsapp/delivery_status/stuck
wa_blocked_by_customer	whatsapp/recipient/blocked_us
wa_session_expired_relink	whatsapp/session/expired
wa_wrong_sender_name	whatsapp/sender_name/wrong_data
wa_broadcast_vs_campaign	whatsapp/broadcast_vs_campaign/compare
wa_cost_per_message	whatsapp/message_cost/pricing
wa_wallet_insufficient	whatsapp/wallet/insufficient
wa_number_not_receiving_only	whatsapp/number/receive_only_failing
wa_emoji_arabic_garbled	whatsapp/arabic_text/garbled
wa_number_suspended_by_meta	whatsapp/number/suspended_by_meta
wa_multiple_agents_same_chat	whatsapp/chat_assignment/duplicated
billing_coupon_not_working	billing/coupon/rejected
billing_trial_ended_early	billing/trial/ended_early
billing_trial_extension_request	billing/trial/request_extension
billing_downgrade_request	subscription/plan/request_downgrade
billing_auto_renewal_unwanted	billing/auto_renewal/unwanted
billing_auto_renewal_failed	billing/auto_renewal/failed
billing_local_payment_method	billing/local_payment/how_to_pay
billing_bank_transfer_pending	billing/bank_transfer/pending
billing_vat_invoice_request	billing/vat_invoice/request
billing_invoice_wrong_details	billing/invoice_details/wrong_data
billing_price_changed	billing/price/changed
billing_unexpected_charge	billing/charge/unexpected
billing_refund_status	billing/refund/status_check
billing_refund_policy	billing/refund/policy_question
billing_multiple_subscriptions	subscription/plan/duplicated
billing_wallet_vs_subscription	billing/wallet_vs_subscription/compare
billing_usage_higher_than_expected	wallet/usage/higher_than_expected
billing_seat_limit_reached	subscription/seats/limit_reached
billing_yearly_vs_monthly	subscription/billing_cycle/compare
billing_change_payment_method	billing/payment_method/request_change
billing_receipt_not_received	billing/receipt/not_received
billing_currency_question	billing/currency/info_question
billing_upgrade_not_applied	subscription/upgrade/not_applied
billing_data_after_cancel	subscription/data_after_cancel/policy_question
billing_invoice_download_failing	billing/invoice/download_failing
billing_partial_payment	billing/payment/partial
billing_account_suspended_nonpayment	billing/account/suspended_nonpayment
billing_enterprise_quote	subscription/custom_quote/request
billing_reseller_question	subscription/reseller/info_question
ticket_assignment_not_working	ticket/assignment/not_working
ticket_sla_breached	ticket/sla/breached
ticket_priority_not_changing	ticket/priority/not_saving
ticket_tags_missing	ticket/tags/not_visible
ticket_merge_request	ticket/ticket/request_merge
ticket_rating_not_received	ticket/rating/not_sending
ticket_internal_note_visible	ticket/internal_note/exposed
ticket_attachment_too_large	ticket/attachment/limit_reached
ticket_cannot_close	ticket/ticket/cannot_close
ticket_reopened_automatically	ticket/ticket/reopens_itself
ticket_customer_cannot_see	ticket/ticket/not_visible_to_customer
ticket_email_reply_not_linked	ticket/email_reply/not_linked
ticket_bulk_actions	ticket/bulk_actions/how_to
ticket_search_not_finding	ticket/search/not_working
ticket_export_missing_columns	ticket/export/missing_columns
ticket_history_incomplete	ticket/history/missing
ticket_auto_close_unwanted	ticket/auto_close/unwanted
ticket_notification_to_agent	notification/new_ticket_alert/not_received
ticket_canned_response_missing	ticket/canned_responses/not_visible
ticket_signature_wrong	ticket/agent_signature/wrong_data
ticket_customer_history_view	ticket/customer_history/how_to
ticket_department_routing	ticket/department_routing/how_to
ticket_first_response_metric	report/first_response_time/how_to
ticket_spam_filtering	ticket/spam/too_many
ticket_attachment_virus_blocked	ticket/attachment/blocked_security
ticket_reply_not_reaching_customer	ticket/agent_reply/not_delivered
bot_flow_not_starting	bot/flow/not_starting
bot_flow_stuck_step	bot/flow/stuck
bot_flow_infinite_loop	bot/flow/loops
bot_answering_wrong_intent	bot/intent_matching/wrong_data
bot_not_handing_to_agent	bot/handoff/not_working
bot_replying_outside_hours	bot/working_hours/wrong_timing
bot_disable_request	bot/bot/request_pause
bot_training_data	bot/training/how_to
bot_arabic_understanding	bot/arabic_understanding/weak
bot_menu_options_wrong	bot/menu/wrong_order
bot_variable_not_replaced	bot/variable/not_replaced
bot_delay_between_messages	bot/message_delay/how_to_configure
bot_condition_not_evaluating	bot/condition/not_working
bot_test_mode	bot/test_mode/how_to
bot_analytics_missing	bot/analytics/not_visible
bot_multiple_flows_conflict	bot/flows/conflict
bot_fallback_message	bot/fallback_reply/how_to_configure
bot_working_hours_per_channel	bot/working_hours_per_channel/how_to
bot_canned_shortcut	team/canned_shortcuts/how_to
bot_greeting_per_language	bot/greeting_language/how_to
team_invite_not_received	team/invite/not_received
team_invite_expired	team/invite/expired
team_role_permissions_unclear	team/roles/compare
team_cannot_change_role	team/role/cannot_change
team_agent_sees_wrong_tickets	team/visibility/wrong_scope
team_remove_agent_data	team/agent/request_remove
team_department_setup	team/departments/how_to_create
team_shift_scheduling	team/shifts/how_to
team_agent_performance_report	report/agent_performance/how_to
team_two_admins_conflict	team/admins/conflict
team_agent_login_from_abroad	team/agent/blocked_abroad
team_concurrent_sessions	team/agent/concurrent_sessions
team_agent_status_stuck	team/agent_status/stuck
team_notification_per_agent	team/agent_notifications/how_to_customize
team_transfer_ownership	account/ownership/request_transfer
team_audit_log_export	security/audit_log/how_to_export
ui_button_not_responding	ui/button/not_responding
ui_changes_not_saving	ui/changes/not_saving
ui_page_stuck_loading	ui/page/stuck_loading
ui_language_wrong	ui/language/wrong_data
ui_timezone_wrong	ui/timezone/wrong_data
ui_search_no_results	ui/search/no_results
ui_filter_not_applying	ui/filter/not_working
ui_sorting_wrong	ui/sorting/wrong_order
ui_profile_picture_not_uploading	account/profile_picture/not_uploading
ui_dark_mode_issue	ui/dark_mode/not_visible
ui_mobile_layout_broken	ui/mobile_layout/broken
ui_notification_sound_missing	notification/sound/not_working
ui_browser_not_supported	ui/browser/unsupported
ui_extension_blocking	ui/browser_extension/blocking
ui_vpn_blocking_access	login/vpn/blocking
ui_cache_causing_stale	ui/cache/stale_data
ui_cannot_delete_item	ui/item/cannot_delete
ui_cannot_edit_item	ui/item/cannot_edit
ui_broke_after_update	ui/platform/broke_after_update
ui_intermittent_errors	ui/errors/intermittent
ui_session_logout_random	login/session/logs_out_randomly
ui_two_tabs_conflict	ui/tabs/conflict
ui_keyboard_shortcuts	ui/keyboard_shortcuts/how_to
ui_print_layout_broken	ui/print/broken
ui_arabic_rtl_issue	ui/rtl/wrong_order
ui_company_info_update	account/company_info/request_change
ui_delete_account_request	account/account/request_delete
ui_feature_request	platform/feature/request
ui_report_bug	platform/bug/report
api_docs_where	api/docs/where_is
api_sandbox_request	api/sandbox/request
api_endpoint_404	api/request/error_404
api_422_validation	api/request/error_422
api_pagination_confusion	api/pagination/how_to
api_webhook_signature_failing	webhook/signature/rejected
api_webhook_retry_policy	webhook/retry_policy/policy_question
api_key_rotation	api/key/how_to_rotate
api_key_leaked	api/key/leaked
api_rate_limit_increase	api/rate_limit/request_increase
api_timeout_on_requests	api/request/error_504
api_response_slow	api/response/slow
api_bulk_send_best_practice	api/bulk_send/how_to
api_sdk_availability	api/sdk/info_question
api_test_credentials	api/sandbox/test_credentials
api_cors_error	api/request/cors_error
api_webhook_local_testing	webhook/local_testing/how_to
api_integration_with_crm	integration/crm/how_to_connect
api_data_format_question	api/data_format/info_question
api_deprecation_notice	api/version/deprecated
api_error_without_code	api/request/error_unclear
api_webhook_order_guarantee	webhook/event/wrong_order
data_import_encoding	data/import/garbled_arabic
data_import_partial	data/import/partial
data_export_empty	data/export/empty
data_export_timeout	data/export/timeout
data_backup_request	data/backup/request
data_restore_deleted	data/deleted/request_restore
data_archive_access	data/archive/how_to_access
report_numbers_dont_match	report/numbers/mismatch
report_date_range_limit	report/date_range/limit_reached
report_scheduled_delivery	report/scheduled_delivery/request
report_custom_metric	report/custom_metric/request
infra_subdomain_ssl_pending	domain/ssl/pending
infra_dns_propagation_wait	domain/dns_propagation/how_long
infra_custom_domain_email	email/sending_domain/how_to_setup
infra_ip_whitelist	integration/ip_whitelist/info_question
infra_status_page	platform/status_page/where_is
infra_scheduled_maintenance	platform/maintenance/info_question
infra_data_location	compliance/data_location/info_question
infra_gdpr_compliance	compliance/gdpr/info_question
convo_anyone_there	conversation/presence/anyone_there
convo_greeting_extended	conversation/greeting/extended
convo_need_help_generic	conversation/help/generic_request
convo_has_question	conversation/question/announce
convo_first_time_user	conversation/user/first_time
convo_polite_request	conversation/request/polite
convo_testing_the_bot	conversation/bot/testing_understanding
convo_asks_for_human_politely	conversation/human/request_polite
convo_good_morning_extended	conversation/greeting/morning
convo_checking_availability	conversation/support_hours/info_question
convo_nobody_replied	conversation/wait/nobody_replied
convo_wants_to_start_over	conversation/flow/start_over
convo_customer_fed_up	conversation/emotion/fed_up
convo_customer_angry	conversation/emotion/angry
convo_customer_disappointed	conversation/emotion/disappointed
convo_customer_worried	conversation/emotion/worried
convo_customer_confused	conversation/emotion/confused
convo_long_standing_issue	conversation/issue/long_standing
convo_customer_apologizes	conversation/apology/from_customer
convo_customer_says_last_chance	conversation/relationship/last_chance
convo_customer_lost_money	conversation/impact/lost_money
convo_customer_business_affected	conversation/impact/business_affected
convo_customer_embarrassed	conversation/emotion/embarrassed
convo_customer_thanks_for_patience	conversation/thanks/for_patience
convo_apology_for_delay	conversation/wait/why_late
convo_reassure_data_safe	conversation/reassurance/data_safe
convo_reassure_nothing_lost	conversation/reassurance/nothing_lost
convo_reassure_will_follow_up	conversation/reassurance/follow_up
convo_owning_our_mistake	conversation/fault/ours
convo_cannot_promise_timeline	conversation/timeline/promise_request
convo_reassure_no_extra_cost	conversation/reassurance/no_hidden_cost
convo_reassure_work_continues	conversation/reassurance/work_continues
convo_explain_why_it_happened	conversation/cause/why_happened
convo_admit_dont_know	conversation/answer/unknown
convo_after_resolution_check	conversation/resolution/works_now
convo_thanks_for_reporting	conversation/report/thanks_for_reporting
convo_customer_says_no_rush	conversation/urgency/no_rush
convo_apology_for_repetition	conversation/repetition/repeating_myself
convo_customer_grateful	conversation/thanks/grateful
convo_customer_praises_service	conversation/praise/service
convo_customer_praises_speed	conversation/praise/speed
convo_customer_recommends	conversation/praise/will_recommend
convo_criticism_general	conversation/criticism/general
convo_criticism_service_declined	conversation/criticism/quality_declined
convo_criticism_compared_to_competitor	conversation/criticism/competitor_better
convo_criticism_bot_not_useful	conversation/criticism/bot_useless
convo_criticism_too_many_steps	conversation/criticism/too_many_steps
convo_praise_for_arabic	conversation/praise/arabic
convo_customer_says_finally	conversation/resolution/finally
convo_customer_gives_feedback	conversation/feedback/general
convo_customer_blesses	conversation/thanks/blessing
convo_neutral_acknowledgement	conversation/ack/neutral
convo_angry_wants_escalation	conversation/escalation/angry_request
convo_angry_threatens_to_leave	conversation/relationship/threatens_leave
convo_angry_uses_harsh_words	conversation/emotion/harsh_tone
convo_angry_repeated_problem	conversation/issue/returned
convo_angry_about_charge	conversation/emotion/angry_charge
convo_angry_no_one_helped	conversation/wait/no_one_helped
convo_angry_calming_down	conversation/emotion/calming_down
convo_angry_wants_compensation	conversation/compensation/request
convo_angry_at_wait_time	conversation/wait/angry_wait
convo_angry_demands_manager	conversation/escalation/manager
convo_frustrated_with_process	conversation/criticism/process
convo_angry_data_concern	conversation/emotion/data_concern
convo_hesitant_cannot_decide	conversation/hesitation/cannot_decide
convo_hesitant_afraid_of_mistake	conversation/hesitation/afraid_mistake
convo_hesitant_wants_advice	conversation/hesitation/wants_advice
convo_hesitant_wants_to_try_first	conversation/hesitation/try_first
convo_hesitant_comparing_plans	conversation/hesitation/compare_plans
convo_hesitant_worried_about_commitment	conversation/hesitation/commitment
convo_hesitant_asks_opinion	conversation/hesitation/asks_opinion
convo_hesitant_needs_time	conversation/hesitation/needs_time
convo_hesitant_asks_if_worth_it	conversation/hesitation/worth_it
convo_hesitant_after_bad_experience	conversation/hesitation/bad_experience
convo_urgent_needs_now	conversation/urgency/needs_now
convo_urgent_deadline	conversation/urgency/deadline
convo_urgent_everything_stopped	conversation/urgency/everything_stopped
convo_urgent_asks_how_long	conversation/urgency/how_long
convo_urgent_outside_hours	conversation/urgency/outside_hours
convo_urgent_repeated_pings	conversation/urgency/repeated_pings
convo_urgent_wants_phone_call	conversation/contact/phone_call
convo_urgent_customer_waiting	conversation/urgency/client_waiting
convo_urgent_calm_down_first	conversation/urgency/needs_calming
convo_goodbye_satisfied	conversation/farewell/satisfied
convo_goodbye_nothing_else	conversation/farewell/nothing_else
convo_wants_to_continue	conversation/continue/another_thing
convo_last_question	conversation/continue/last_question
convo_encourage_to_continue	conversation/continue/stuck_midway
convo_customer_leaving_unresolved	conversation/farewell/unresolved
convo_will_come_back_later	conversation/farewell/back_later
convo_check_if_anything_else	conversation/continue/anything_else
convo_wish_good_day	conversation/farewell/well_wishes
convo_customer_busy_now	conversation/farewell/busy_now
convo_thanks_and_goodbye	conversation/farewell/thanks
convo_offer_more_help	conversation/continue/offer_help
convo_short_ok	conversation/ack/short_ok
convo_asks_to_repeat	conversation/clarity/repeat
convo_wants_summary	conversation/clarity/summary
convo_confirm_understanding	conversation/clarity/confirm_steps
convo_general_reassurance	conversation/reassurance/general
app_crashes_on_open	app/app/crash
app_push_not_arriving	app/push/not_received
app_version_outdated	app/version/outdated
app_login_loop	app/login/loop
app_permission_blocked	app/device_permission/blocked
app_offline_data_missing	app/offline/not_working
channel_instagram_not_connecting	channel/instagram/not_linked
channel_facebook_page_linking	channel/facebook_page/not_linked
channel_telegram_token_invalid	channel/telegram_token/rejected
channel_replies_on_wrong_channel	channel/reply/wrong_channel
channel_same_customer_two_identities	contacts/identity/split_across_channels
channel_disconnects_randomly	channel/channel/disconnects
channel_limit_reached	subscription/channels/limit_reached
channel_history_missing_after_link	channel/history/missing
email_going_to_spam	email/delivery/spam
email_authentication_setup	email/authentication/how_to_setup
email_sender_domain_wrong	email/sender/wrong_data
email_bouncing_back	email/delivery/bounced
email_thread_splitting	email/thread/split
email_signature_broken	email/signature/broken
security_suspicious_login	security/login/suspicious
security_2fa_device_lost	security/2fa/device_lost
security_ip_restriction_blocking	security/ip_restriction/blocking
security_password_policy_strict	security/password_policy/rejected
security_data_privacy_question	compliance/customer_data_privacy/info_question
security_session_not_expiring	security/session/not_expiring
security_api_key_too_broad	security/api_key_scope/too_broad
notif_browser_permission_blocked	notification/browser_permission/blocked
notif_desktop_not_showing	notification/desktop/not_visible
notif_digest_wrong_time	notification/digest/wrong_timing
notif_mention_not_notifying	notification/mention/not_received
notif_sound_only_first	notification/sound/partial
analytics_csat_not_collected	analytics/csat/not_collected
analytics_response_time_wrong	analytics/response_time/wrong_data
analytics_agent_numbers_disputed	analytics/agent_numbers/disputed
analytics_export_mismatch	analytics/export/mismatch
analytics_dashboard_timezone	analytics/dashboard/timezone_mismatch
automation_rule_not_firing	automation/rule/not_firing
automation_round_robin_uneven	automation/round_robin/uneven
automation_escalation_not_triggering	automation/escalation_rule/not_firing
automation_holiday_not_respected	automation/holidays/ignored
automation_rules_conflict	automation/rules/conflict
automation_assigns_offline_agent	automation/assignment/offline_agent
contacts_duplicates_need_merge	contacts/contact/duplicated
contacts_custom_field_not_saving	contacts/custom_field/not_saving
contacts_segment_not_updating	contacts/segment/not_updating
contacts_import_mapping_wrong	contacts/import_mapping/wrong_data
contacts_deleted_by_mistake	contacts/contact/request_restore
widget_appearance_not_applying	widget/appearance/not_updating
widget_position_on_mobile	widget/position/covers_content
widget_prechat_form_skipped	widget/prechat_form/skipped
widget_not_loading_some_pages	widget/widget/partial
widget_language_not_switching	widget/language/not_updating
integration_external_automation_not_triggering	integration/automation_platform/not_firing
integration_spreadsheet_not_syncing	integration/spreadsheet/not_updating
integration_team_chat_notifications	integration/team_chat/not_received
integration_store_orders_missing	integration/store/orders_missing
integration_crm_creates_duplicates	integration/crm/duplicated
api_duplicate_sends	api/request/duplicated_send
api_sandbox_vs_production_keys	api/key/environment_mixup
api_version_breaking_change	api/version/breaking_change
api_batch_partial_failure	api/batch/partial
api_webhook_replay_needed	webhook/event/request_replay
billing_proration_confusion	billing/proration/confused
billing_currency_change_request	billing/currency/request_change
billing_purchase_order_required	billing/purchase_order/request
convo_ramadan_greeting	conversation/occasion/ramadan
convo_eid_greeting	conversation/occasion/eid
convo_friday_blessing	conversation/occasion/friday
convo_new_year_greeting	conversation/occasion/new_year
convo_congratulates_company	conversation/occasion/congratulates_company
convo_condolence	conversation/occasion/condolence
convo_weekend_wish	conversation/occasion/weekend
convo_asks_bot_name	conversation/bot/name
convo_asks_bot_tired	conversation/bot/tired
convo_asks_who_built	conversation/bot/who_built
convo_asks_if_ai	conversation/bot/is_ai
convo_asks_bot_learns	conversation/bot/learns
convo_bot_improved	conversation/bot/improved
convo_asks_unrelated_opinion	conversation/off_topic/opinion
convo_asks_joke	conversation/off_topic/joke
convo_asks_bot_feelings	conversation/bot/feelings
convo_answer_too_long	conversation/reply_format/shorter
convo_asks_if_recorded	conversation/privacy/recorded
convo_asks_who_reads	conversation/privacy/who_reads
convo_asks_delete_chat	conversation/privacy/delete_chat
convo_asks_transcript	conversation/transcript/request
convo_asks_chat_by_email	conversation/contact/continue_by_email
convo_asks_to_wait	conversation/pause/asks_to_wait
convo_returned	conversation/pause/returned
convo_late_reply_apology	conversation/apology/late_reply
convo_wrong_message	conversation/mistake/wrong_message
convo_ignore_previous	conversation/flow/ignore_previous
convo_will_send_screenshot	conversation/evidence/will_send_screenshot
convo_continue_tomorrow	conversation/pause/continue_tomorrow
convo_call_later	conversation/pause/contact_later
convo_sent_by_mistake	conversation/mistake/sent_by_accident
convo_slow_down	conversation/reply_format/slow_down
convo_asks_arabic_reply	conversation/reply_format/arabic
convo_asks_simpler_words	conversation/reply_format/simpler
convo_asks_shorter_answer	conversation/reply_format/shorter_request
convo_asks_more_detail	conversation/reply_format/more_detail
convo_asks_numbered_steps	conversation/reply_format/numbered_steps
convo_asks_dialect	conversation/reply_format/dialect
convo_wrong_company	conversation/mistake/wrong_company
convo_message_not_for_you	conversation/mistake/not_for_you
convo_testing_message	conversation/bot/test_message
convo_emoji_only	conversation/message_form/emoji_only
convo_voice_note	conversation/message_form/voice_note
convo_still_there	conversation/presence/still_there
convo_asks_about_team	conversation/company/team
convo_asks_location	conversation/company/location
convo_asks_nationality	conversation/company/nationality
convo_wishes_success	conversation/praise/wishes_success
convo_asks_jobs	conversation/company/jobs
convo_partnership_offer	conversation/company/partnership
convo_asks_updates	platform/updates/whats_new
migration_from_other_platform	migration/platform/how_to
migration_history_scope	migration/history/scope
migration_golive_plan	migration/golive/plan
migration_parallel_run	migration/parallel_run/plan
migration_team_training	migration/team_training/request
migration_rollback_plan	migration/rollback/plan
migration_data_cleanup	migration/data_cleanup/plan
migration_pilot_group	migration/pilot/plan
migration_who_sets_up	migration/account_setup/who
migration_onboarding_checklist	migration/onboarding_checklist/request
compliance_data_agreement	compliance/dpa/request
compliance_data_residency	compliance/data_location/info_question_dup
compliance_erasure_request	compliance/erasure/request
compliance_consent_record	compliance/consent/proof
compliance_retention_policy	compliance/retention/policy_question
compliance_certification	compliance/certification/info_question
compliance_subprocessors	compliance/subprocessors/info_question
compliance_breach_duty	compliance/breach/policy_question
scale_search_slow	scale/search/slow
scale_report_timeout	scale/report/timeout
scale_storage_limit	subscription/storage/limit_reached
scale_archiving_old	scale/archiving/how_to
scale_deep_pagination	scale/pagination/slow
scale_concurrent_agents	scale/concurrency/slow
scale_attachment_too_big	chat/attachment/too_big
billing_switch_cycle	subscription/billing_cycle/request_change
billing_seat_truing	billing/seats/added
billing_bill_higher	billing/invoice/higher_than_expected
billing_credit_note	billing/credit_note/request
billing_refund_other_card	billing/refund/destination
billing_consolidate_invoices	billing/invoice/request_consolidation
billing_tax_exemption	billing/tax_exemption/request
billing_dunning_window	billing/payment_failed/grace_period
team_offboarding_agent	team/agent/offboarding
team_ticket_handover	team/open_tickets/handover
team_shared_vs_personal	team/inbox_model/compare
team_supervisor_view	team/supervisor/how_to
team_agent_scripts	team/scripts/how_to
team_shift_handover	team/shift_handover/how_to
team_training_mode	team/training_mode/how_to
team_review_data	report/agent_review/how_to
wa_template_category_changed	whatsapp/template_category/changed
wa_country_pricing	whatsapp/country_pricing/pricing
wa_optout_handling	whatsapp/optout/handle
wa_flow_form	whatsapp/flow_form/how_to
wa_interactive_buttons	whatsapp/interactive_buttons/how_to
wa_click_to_chat_ads	whatsapp/click_to_chat_ads/how_to
wa_verification_renewal	whatsapp/verification/renewal
wa_display_name_rejected	whatsapp/display_name/rejected
wa_quality_recovery_plan	whatsapp/quality_rating/recovery_plan
wa_pricing_change	whatsapp/pricing/changed
bot_handoff_condition	bot/handoff_condition/how_to
bot_retry_limit	bot/retry_limit/how_to
bot_multilingual_flow	bot/multilingual/how_to
bot_flow_variable_source	bot/variable_source/info_question
bot_flow_testing	bot/test_mode/how_to_dup
bot_flow_versioning	bot/flow_version/request_restore
bot_greeting_experiment	bot/greeting/ab_test
bot_dropoff_point	bot/dropoff/analysis
report_custom_dashboard	report/custom_dashboard/request
report_scheduled_delivery_new	report/scheduled_delivery/request_dup
report_sla_breaches	report/sla_breaches/request
report_first_contact_resolution	report/fcr/info_question
report_backlog_aging	report/backlog/aging
report_agent_occupancy	report/agent_occupancy/info_question
voice_click_to_call	voice/click_to_call/how_to
voice_call_logging	voice/call_logging/request
voice_ivr_to_chat	voice/ivr_handoff/how_to
voice_missed_call_followup	voice/missed_call/followup
voice_recording_consent	voice/recording_consent/policy_question
kb_article_suggestion	kb/article_suggestion/how_to
kb_public_help_center	kb/public_help_center/request
kb_article_analytics	kb/article_analytics/info_question
kb_article_versioning	kb/article_versioning/audit
kb_multilingual_article	kb/multilingual_article/how_to
kb_deflection_rate	kb/deflection/how_to
commerce_order_lookup	commerce/order_lookup/how_to
commerce_returns_flow	commerce/returns_flow/how_to
commerce_abandoned_cart	commerce/abandoned_cart/how_to
commerce_product_recommendation	commerce/product_recommendation/how_to
commerce_payment_link	commerce/payment_link/how_to
commerce_shipping_tracking	commerce/shipping_tracking/how_to
a11y_screen_reader	ui/screen_reader/support
loc_rtl_reports	report/export_rtl/wrong_order
loc_date_format	ui/date_format/wrong_data
loc_email_template_rtl	email/template_rtl/broken
loc_multi_currency	billing/multi_currency/display
ops_seasonal_capacity	business/season/prepare
ops_customer_waiting_too_long	ticket/backlog/customer_waiting
ops_measure_bot_value	report/bot_value/measure
convo_business_slow	business/state/slow
convo_business_booming	business/state/booming
convo_new_branch	business/branch/new
convo_closing_business	business/state/closing
convo_changing_business	business/activity/changed
convo_seasonal_rush	business/season/prepare_dup
convo_growth_upgrade	business/growth/needs_more
convo_hiring	business/team/hiring
convo_competitor_pressure	business/market/competitor_pressure
convo_supply_issue	business/supply/issue
convo_cash_tight	business/cash/tight
convo_expanding_abroad	business/expansion/abroad
convo_long_customer	conversation/relationship/long_customer
convo_referred_by_friend	conversation/source/referred
convo_saw_ad	conversation/source/saw_ad
convo_returning_customer	conversation/relationship/returning
convo_comparing_before_renew	conversation/hesitation/compare_before_renew
convo_loyalty_discount	subscription/discount/loyalty
convo_case_study	conversation/company/case_study
convo_testimonial	conversation/praise/testimonial
convo_apologizes_after_anger	conversation/emotion/calming_down_dup
